"Year","State","State_ab","Population"
1958,"North Carolina      ","NC",4376000
1958,"North Dakota        ","ND",606000
1958,"Ohio                ","OH",9599000
1958,"Oklahoma            ","OK",2267000
1958,"Oregon              ","OR",1718000
1958,"Pennsylvania        ","PA",11058000
1958,"Rhode Island        ","RI",858000
1958,"South Carolina      ","SC",2304000
1958,"South Dakota        ","SD",656000
1958,"Tennessee           ","TN",3471000
1958,"Texas               ","TX",9252000
1958,"Utah                ","UT",845000
1958,"Vermont             ","VT",380000
1958,"Virginia            ","VA",3914000
1958,"Washington          ","WA",2773000
1958,"West Virginia       ","WV",1845000
1958,"Wisconsin           ","WI",3843000
1958,"Wyoming             ","WY",315000
1959,"Alabama             ","AL",3204000
1959,"Alaska              ","AK",224000
1959,"Arizona             ","AZ",1261000
1959,"Arkansas            ","AR",1756000
1959,"California          ","CA",15467000
1959,"Colorado            ","CO",1710000
1959,"Connecticut         ","CT",2523000
1959,"Delaware            ","DE",441000
1959,"Florida             ","FL",4808000
1959,"Georgia             ","GA",3868000
1959,"Hawaii              ","HI",622000
1959,"Idaho               ","ID",657000
1959,"Illinois            ","IL",9986000
1959,"Indiana             ","IN",4613000
1959,"Iowa                ","IA",2729000
1959,"Kansas              ","KS",2160000
1959,"Kentucky            ","KY",2999000
1959,"Louisiana           ","LA",3208000
1959,"Maine               ","ME",957000
1959,"Maryland            ","MD",3066000
1959,"Massachusetts       ","MA",5117000
1959,"Michigan            ","MI",7767000
1959,"Minnesota           ","MN",3366000
1959,"Mississippi         ","MS",2138000
1959,"Missouri            ","MO",4258000
1959,"Montana             ","MT",669000
1959,"Nebraska            ","NE",1397000
1959,"Nevada              ","NV",279000
1959,"New Hampshire       ","NH",596000
1959,"New Jersey          ","NJ",6015000
1959,"New Mexico          ","NM",919000
1959,"New York            ","NY",16685000
1959,"North Carolina      ","NC",4458000
1959,"North Dakota        ","ND",618000
1959,"Ohio                ","OH",9671000
1959,"Oklahoma            ","OK",2289000
1959,"Oregon              ","OR",1746000
1959,"Pennsylvania        ","PA",11234000
1959,"Rhode Island        ","RI",857000
1959,"South Carolina      ","SC",2348000
1959,"South Dakota        ","SD",667000
1959,"Tennessee           ","TN",3522000
1959,"Texas               ","TX",9405000
1959,"Utah                ","UT",870000
1959,"Vermont             ","VT",387000
1959,"Virginia            ","VA",3951000
1959,"Washington          ","WA",2821000
1959,"West Virginia       ","WV",1855000
1959,"Wisconsin           ","WI",3891000
1959,"Wyoming             ","WY",320000
1960,"Alabama             ","AL",3274000
1960,"Alaska              ","AK",229000
1960,"Arizona             ","AZ",1321000
1960,"Arkansas            ","AR",1789000
1960,"California          ","CA",15870000
1960,"Colorado            ","CO",1769000
1960,"Connecticut         ","CT",2544000
1960,"Delaware            ","DE",449000
1960,"Florida             ","FL",5004000
1960,"Georgia             ","GA",3956000
1960,"Hawaii              ","HI",642000
1960,"Idaho               ","ID",671000
1960,"Illinois            ","IL",10086000
1960,"Indiana             ","IN",4674000
1960,"Iowa                ","IA",2756000
1960,"Kansas              ","KS",2183000
1960,"Kentucky            ","KY",3041000
1960,"Louisiana           ","LA",3260000
1960,"Maine               ","ME",975000
1960,"Maryland            ","MD",3113000
1960,"Massachusetts       ","MA",5160000
1960,"Michigan            ","MI",7834000
1960,"Minnesota           ","MN",3425000
1960,"Mississippi         ","MS",2182000
1960,"Missouri            ","MO",4326000
1960,"Montana             ","MT",679000
1960,"Nebraska            ","NE",1417000
1960,"Nevada              ","NV",291000
1960,"New Hampshire       ","NH",609000
1960,"New Jersey          ","NJ",6103000
1960,"New Mexico          ","NM",954000
1960,"New York            ","NY",16838000
1960,"North Carolina      ","NC",4573000
1960,"North Dakota        ","ND",634000
1960,"Ohio                ","OH",9734000
1960,"Oklahoma            ","OK",2336000
1960,"Oregon              ","OR",1772000
1960,"Pennsylvania        ","PA",11329000
1960,"Rhode Island        ","RI",855000
1960,"South Carolina      ","SC",2392000
1960,"South Dakota        ","SD",683000
1960,"Tennessee           ","TN",3575000
1960,"Texas               ","TX",9624000
1960,"Utah                ","UT",9e+05
1960,"Vermont             ","VT",389000
1960,"Virginia            ","VA",3986000
1960,"Washington          ","WA",2855000
1960,"West Virginia       ","WV",1853000
1960,"Wisconsin           ","WI",3962000
1960,"Wyoming             ","WY",331000
1961,"Alabama             ","AL",3316000
1961,"Alaska              ","AK",238000
1961,"Arizona             ","AZ",1407000
1961,"Arkansas            ","AR",1806000
1961,"California          ","CA",16497000
1961,"Colorado            ","CO",1844000
1961,"Connecticut         ","CT",2586000
1961,"Delaware            ","DE",461000
1961,"Florida             ","FL",5243000
1961,"Georgia             ","GA",4014999.75
1961,"Hawaii              ","HI",659000
1961,"Idaho               ","ID",684000
1961,"Illinois            ","IL",10130000
1961,"Indiana             ","IN",4730000
1961,"Iowa                ","IA",2756000
1961,"Kansas              ","KS",2215000
1961,"Kentucky            ","KY",3054000
1961,"Louisiana           ","LA",3287000
1961,"Maine               ","ME",995000
1961,"Maryland            ","MD",3176000
1961,"Massachusetts       ","MA",5219000
1961,"Michigan            ","MI",7893000
1961,"Minnesota           ","MN",3470000
1961,"Mississippi         ","MS",2206000
1961,"Missouri            ","MO",4349000
1961,"Montana             ","MT",696000
1961,"Nebraska            ","NE",1446000
1961,"Nevada              ","NV",315000
1961,"New Hampshire       ","NH",618000
1961,"New Jersey          ","NJ",6265000
1961,"New Mexico          ","NM",965000
1961,"New York            ","NY",17061000
1961,"North Carolina      ","NC",4663000
1961,"North Dakota        ","ND",641000
1961,"Ohio                ","OH",9854000
1961,"Oklahoma            ","OK",2380000
1961,"Oregon              ","OR",1787000
1961,"Pennsylvania        ","PA",11392000
1961,"Rhode Island        ","RI",858000
1961,"South Carolina      ","SC",2409000
1961,"South Dakota        ","SD",693000
1961,"Tennessee           ","TN",3622000
1961,"Texas               ","TX",9820000
1961,"Utah                ","UT",936000
1961,"Vermont             ","VT",390000
1961,"Virginia            ","VA",4094999.75
1961,"Washington          ","WA",2882000
1961,"West Virginia       ","WV",1828000
1961,"Wisconsin           ","WI",4008999.75
1961,"Wyoming             ","WY",337000
1962,"Alabama             ","AL",3323000
1962,"Alaska              ","AK",246000
1962,"Arizona             ","AZ",1471000
1962,"Arkansas            ","AR",1853000
1962,"California          ","CA",17072000
1962,"Colorado            ","CO",1899000
1962,"Connecticut         ","CT",2647000
1962,"Delaware            ","DE",469000
1962,"Florida             ","FL",5458000
1962,"Georgia             ","GA",4086000
1962,"Hawaii              ","HI",684000
1962,"Idaho               ","ID",692000
1962,"Illinois            ","IL",10280000
1962,"Indiana             ","IN",4736000
1962,"Iowa                ","IA",2750000
1962,"Kansas              ","KS",2231000
1962,"Kentucky            ","KY",3079000
1962,"Louisiana           ","LA",3345000
1962,"Maine               ","ME",994000
1962,"Maryland            ","MD",3263000
1962,"Massachusetts       ","MA",5263000
1962,"Michigan            ","MI",7933000
1962,"Minnesota           ","MN",3513000
1962,"Mississippi         ","MS",2243000
1962,"Missouri            ","MO",4357000
1962,"Montana             ","MT",698000
1962,"Nebraska            ","NE",1464000
1962,"Nevada              ","NV",352000
1962,"New Hampshire       ","NH",632000
1962,"New Jersey          ","NJ",6376000
1962,"New Mexico          ","NM",979000
1962,"New York            ","NY",17301000
1962,"North Carolina      ","NC",4707000
1962,"North Dakota        ","ND",637000
1962,"Ohio                ","OH",9929000
1962,"Oklahoma            ","OK",2427000
1962,"Oregon              ","OR",1818000
1962,"Pennsylvania        ","PA",11355000
1962,"Rhode Island        ","RI",871000
1962,"South Carolina      ","SC",2423000
1962,"South Dakota        ","SD",705000
1962,"Tennessee           ","TN",3673000
1962,"Texas               ","TX",10053000
1962,"Utah                ","UT",958000
1962,"Vermont             ","VT",393000
1962,"Virginia            ","VA",4180000
1962,"Washington          ","WA",2942000
1962,"West Virginia       ","WV",1809000
1962,"Wisconsin           ","WI",4048999.75
1962,"Wyoming             ","WY",333000
1963,"Alabama             ","AL",3358000
1963,"Alaska              ","AK",256000
1963,"Arizona             ","AZ",1521000
1963,"Arkansas            ","AR",1875000
1963,"California          ","CA",17668000
1963,"Colorado            ","CO",1936000
1963,"Connecticut         ","CT",2727000
1963,"Delaware            ","DE",483000
1963,"Florida             ","FL",5628000
1963,"Georgia             ","GA",4172000
1963,"Hawaii              ","HI",682000
1963,"Idaho               ","ID",683000
1963,"Illinois            ","IL",10402000
1963,"Indiana             ","IN",4799000
1963,"Iowa                ","IA",2747000
1963,"Kansas              ","KS",2217000
1963,"Kentucky            ","KY",3096000
1963,"Louisiana           ","LA",3377000
1963,"Maine               ","ME",993000
