"BRANCHES","ID","New_Char","STNAME","TOTAL","YEAR"
86,"CB_1971_TX",,"Texas",1207,"1971"
148,"CB_1971_UT",,"Utah",50,"1971"
887,"CB_1971_VA",,"Virginia",245,"1971"
28,"CB_1971_VI",,"Virgin Islands Of The U.S.",2,"1971"
89,"CB_1971_VT",,"Vermont",41,"1971"
589,"CB_1971_WA",,"Washington",91,"1971"
286,"CB_1971_WI",,"Wisconsin",607,"1971"
6,"CB_1971_WV",,"West Virginia",199,"1971"
2,"CB_1971_WY",,"Wyoming",71,"1971"
62,"CB_1970_AK",,"Alaska",10,"1970"
272,"CB_1970_AL",,"Alabama",272,"1970"
165,"CB_1970_AR",,"Arkansas",248,"1970"
3,"CB_1970_AS",,"American Samoa",0,"1970"
323,"CB_1970_AZ",,"Arizona",12,"1970"
3028,"CB_1970_CA",,"California",144,"1970"
19,"CB_1970_CO",,"Colorado",227,"1970"
436,"CB_1970_CT",,"Connecticut",58,"1970"
103,"CB_1970_DC",,"District Of Columbia",14,"1970"
87,"CB_1970_DE",,"Delaware",18,"1970"
33,"CB_1970_FL",,"Florida",494,"1970"
27,"CB_1970_FM",,"Federated States of Micronesia",0,"1970"
296,"CB_1970_GA",,"Georgia",434,"1970"
8,"CB_1970_GU",,"Guam",0,"1970"
138,"CB_1970_HI",,"Hawaii",7,"1970"
318,"CB_1970_IA",,"Iowa",658,"1970"
156,"CB_1970_ID",,"Idaho",24,"1970"
98,"CB_1970_IL",,"Illinois",1105,"1970"
632,"CB_1970_IN",,"Indiana",404,"1970"
69,"CB_1970_KS",,"Kansas",600,"1970"
328,"CB_1970_KY",,"Kentucky",339,"1970"
393,"CB_1970_LA",,"Louisiana",230,"1970"
742,"CB_1970_MA",,"Massachusetts",158,"1970"
515,"CB_1970_MD",,"Maryland",114,"1970"
226,"CB_1970_ME",,"Maine",39,"1970"
1201,"CB_1970_MI",,"Michigan",329,"1970"
11,"CB_1970_MN",,"Minnesota",726,"1970"
93,"CB_1970_MO",,"Missouri",664,"1970"
348,"CB_1970_MS",,"Mississippi",182,"1970"
5,"CB_1970_MT",,"Montana",139,"1970"
1112,"CB_1970_NC",,"North Carolina",97,"1970"
69,"CB_1970_ND",,"North Dakota",166,"1970"
42,"CB_1970_NE",,"Nebraska",437,"1970"
63,"CB_1970_NH",,"New Hampshire",72,"1970"
1012,"CB_1970_NJ",,"New Jersey",215,"1970"
130,"CB_1970_NM",,"New Mexico",66,"1970"
86,"CB_1970_NV",,"Nevada",8,"1970"
2431,"CB_1970_NY",,"New York",287,"1970"
1304,"CB_1970_OH",,"Ohio",514,"1970"
60,"CB_1970_OK",,"Oklahoma",433,"1970"
337,"CB_1970_OR",,"Oregon",47,"1970"
1725,"CB_1970_PA",,"Pennsylvania",463,"1970"
180,"CB_1970_PR",,"Puerto Rico",8,"1970"
163,"CB_1970_RI",,"Rhode Island",11,"1970"
418,"CB_1970_SC",,"South Carolina",102,"1970"
98,"CB_1970_SD",,"South Dakota",161,"1970"
487,"CB_1970_TN",,"Tennessee",304,"1970"
76,"CB_1970_TX",,"Texas",1183,"1970"
139,"CB_1970_UT",,"Utah",48,"1970"
825,"CB_1970_VA",,"Virginia",233,"1970"
24,"CB_1970_VI",,"Virgin Islands Of The U.S.",1,"1970"
85,"CB_1970_VT",,"Vermont",42,"1970"
558,"CB_1970_WA",,"Washington",90,"1970"
273,"CB_1970_WI",,"Wisconsin",604,"1970"
5,"CB_1970_WV",,"West Virginia",200,"1970"
2,"CB_1970_WY",,"Wyoming",70,"1970"
59,"CB_1969_AK",,"Alaska",9,"1969"
247,"CB_1969_AL",,"Alabama",268,"1969"
155,"CB_1969_AR",,"Arkansas",246,"1969"
3,"CB_1969_AS",,"American Samoa",0,"1969"
299,"CB_1969_AZ",,"Arizona",12,"1969"
2895,"CB_1969_CA",,"California",148,"1969"
12,"CB_1969_CO",,"Colorado",223,"1969"
405,"CB_1969_CT",,"Connecticut",59,"1969"
100,"CB_1969_DC",,"District Of Columbia",14,"1969"
79,"CB_1969_DE",,"Delaware",19,"1969"
29,"CB_1969_FL",,"Florida",469,"1969"
28,"CB_1969_FM",,"Federated States of Micronesia",0,"1969"
270,"CB_1969_GA",,"Georgia",423,"1969"
6,"CB_1969_GU",,"Guam",0,"1969"
128,"CB_1969_HI",,"Hawaii",7,"1969"
298,"CB_1969_IA",,"Iowa",658,"1969"
149,"CB_1969_ID",,"Idaho",26,"1969"
74,"CB_1969_IL",,"Illinois",1085,"1969"
601,"CB_1969_IN",,"Indiana",407,"1969"
61,"CB_1969_KS",,"Kansas",602,"1969"
306,"CB_1969_KY",,"Kentucky",340,"1969"
359,"CB_1969_LA",,"Louisiana",230,"1969"
710,"CB_1969_MA",,"Massachusetts",156,"1969"
484,"CB_1969_MD",,"Maryland",121,"1969"
206,"CB_1969_ME",,"Maine",41,"1969"
1151,"CB_1969_MI",,"Michigan",330,"1969"
10,"CB_1969_MN",,"Minnesota",721,"1969"
85,"CB_1969_MO",,"Missouri",661,"1969"
321,"CB_1969_MS",,"Mississippi",181,"1969"
5,"CB_1969_MT",,"Montana",135,"1969"
1010,"CB_1969_NC",,"North Carolina",108,"1969"
66,"CB_1969_ND",,"North Dakota",166,"1969"
39,"CB_1969_NE",,"Nebraska",437,"1969"
52,"CB_1969_NH",,"New Hampshire",73,"1969"
891,"CB_1969_NJ",,"New Jersey",226,"1969"
121,"CB_1969_NM",,"New Mexico",64,"1969"
81,"CB_1969_NV",,"Nevada",8,"1969"
2290,"CB_1969_NY",,"New York",295,"1969"
1217,"CB_1969_OH",,"Ohio",519,"1969"
58,"CB_1969_OK",,"Oklahoma",425,"1969"
319,"CB_1969_OR",,"Oregon",49,"1969"
1614,"CB_1969_PA",,"Pennsylvania",483,"1969"
173,"CB_1969_PR",,"Puerto Rico",8,"1969"
153,"CB_1969_RI",,"Rhode Island",11,"1969"
380,"CB_1969_SC",,"South Carolina",104,"1969"
94,"CB_1969_SD",,"South Dakota",163,"1969"
448,"CB_1969_TN",,"Tennessee",301,"1969"
67,"CB_1969_TX",,"Texas",1157,"1969"
126,"CB_1969_UT",,"Utah",51,"1969"
765,"CB_1969_VA",,"Virginia",233,"1969"
20,"CB_1969_VI",,"Virgin Islands Of The U.S.",1,"1969"
